scenario,step,t,x,y,z,vx,vy,vz,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm,thrust_cmd,rates_des_x,rates_des_y,rates_des_z,action0,action1,action2,action3,noise_active,dropout_active,dropout_mode,reward
noise,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.14610593687050064,0.028540046110816526,-0.14405367035584443,-0.12791152084311216,0.08184098283063594,0.03945522523352051,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.1599999964237213,0.1599999964237213,0.357084,1.1880489873929971,0.6118605166207781,0.0,1.0,1.0,0.58428377,0.0,True,False,NONE,-0.15915060213224508
noise,1,0.01,-1.8625418981378663e-07,-9.142731080659608e-06,0.0008493945541966438,-3.518972086729461e-05,0.014316375888588636,0.18646993078804253,-0.13824912003087172,-0.19592363388721343,0.11294470357128078,-0.15048197502257402,0.3033381130983406,0.21336163127598562,0.014493307932998219,-1.9714190029258342e-05,-1.4412551525974647e-06,-0.9765507958861662,-0.003050001161561545,-9.504184616621467e-05,0.0,0.0,0.16,1.8625418981378663e-07,9.142731080659608e-06,0.15915060186952468,0.15915060213224508,0.2405147372426099,2.318600792721684,2.448555726312502,5.768623748271352e-06,-0.060955137,1.0,1.0,5.50863e-06,True,False,NONE,-0.1572475356415842
noise,2,0.015,-4.4443099270817726e-07,3.531740061669043e-05,0.00275246474886485,-7.351758277670232e-06,0.0039322342305595295,0.18330429654758085,0.030830181440845598,-0.008833990329353383,0.1040484855602844,-0.026327978337260083,0.2189280556105958,0.17399733196765632,0.0113890727252362,-3.9577270741509064e-05,-1.7862201971078875e-06,-0.275656066265119,-0.0005986903634485626,-1.7007207834866113e-06,0.0,0.0,0.16,4.4443099270817726e-07,-3.531740061669043e-05,0.15724753167485647,0.1572475356415842,0.2549099435329379,2.359032312802639,0.12322815045741775,7.152949476805813e-06,0.07006283,1.0,0.11767422,6.8305635e-06,True,False,NONE,-0.1556279836057314
noise,3,0.02,4.303956472085944e-06,6.957680911300301e-05,0.004372028430402722,0.0006837097066719882,0.0032784329467406355,0.15519795371702894,-0.05061919770351233,-0.23048290432271396,0.08323017072514517,0.16932125546324314,0.048350054798467684,-0.0677899408232561,0.008967285890725788,0.0003121451772768883,1.6744297357852237e-06,-0.2323959224742621,0.05066378020641474,-9.828608707166731e-06,0.0,0.0,0.16,-4.303956472085944e-06,-6.957680911300301e-05,0.1556279679933186,0.1556279836057314,0.3277243996478926,-0.9809164001349878,-1.742568840480922,-6.693836329106094e-06,0.7327836,-0.9367062,-1.0,-6.392143e-06,True,False,NONE,-0.15425718890525214
noise,4,0.025,1.41960489669597e-05,9.83125858087829e-05,0.005742839500425516,0.0010968435748695195,0.002744170949957846,0.13138074411708558,0.0016747550498838562,0.04977985222669155,0.12527507451988165,0.30272300393006063,-0.06570566425953353,0.20033051237105126,0.006915741323001069,0.0010452256222332117,6.536360744069345e-06,-0.19638417810522021,0.08130178411664839,-0.00011578638397229015,0.0,0.0,0.16,-1.41960489669597e-05,-9.83125858087829e-05,0.1542571569232958,0.15425718890525214,0.23849751656346854,-0.5316064073853414,-2.455478694796998,-2.615790126410275e-05,-0.07931487,-0.50764674,-1.0,-2.4978955e-05,True,False,NONE,-0.15309158933044986
noise,5,0.030000000000000002,1.9553465630237916e-05,0.00012274738215557637,0.006908457550845422,0.0003110699315982011,0.00228643522075949,0.11171516054642705,0.20427863886448516,0.025188404862990423,-0.0253178748419941,0.021838622979349392,-0.038906118162282705,0.028510835770128237,0.005156955807209973,0.0014314959293059266,4.592939199341071e-06,-0.16484925792902963,0.022215587756106218,-0.0003845817814932175,0.0,0.0,0.16,-1.9553465630237916e-05,-0.00012274738215557637,0.15309153887287588,0.15309158933044986,0.35196804870019516,-0.3503583176682906,-1.6129382321054675,-1.8395697433188007e-05,0.95343715,-0.33456755,-1.0,-1.7566597e-05,True,False,NONE,-0.15210696839643412
noise,6,0.035,1.3016911701395712e-05,0.00014207501141622766,0.007893094936625909,-0.001046432335195852,0.0018362787276155477,0.09434557958834981,-0.017401574799123132,-0.08347095952280002,-0.007783884521007405,0.00300681879810073,0.12201087986432618,0.19718229337589538,0.0037562731187967035,0.0009462134553023331,4.4571998193303414e-07,-0.13339948733219945,-0.07756233280939791,-0.00019082847523893011,0.0,0.0,0.16,-1.3016911701395712e-05,-0.00014207501141622766,0.1521069014870954,0.15210696839643412,0.30002411604372764,0.9209430250216788,0.06757564127730796,-1.8079348635106948e-06,0.48066947,0.87943584,0.064529985,-1.7264506e-06,True,False,NONE,-0.15127112189275962
noise,7,0.04,-1.2065159492697858e-05,0.00015741651020118142,0.008728956917911155,-0.003055049661762952,0.0014360949240873034,0.08020624580233254,-0.15509248246482166,0.1394945666073866,-0.1585885289640009,-0.1611535875062504,-0.003980575386991082,0.16989649368320348,0.0026371594032619274,-0.0009132064148246432,-6.37264286567964e-06,-0.10490311281322945,-0.22649318086181724,-6.655594555873021e-05,0.0,0.0,0.16,1.2065159492697858e-05,-0.00015741651020118142,0.15127103950581017,0.15127112189275962,0.357084,0.8438426782986018,2.4537272783340724,2.5481448134104202e-05,1.0,0.8058104,1.0,2.433299e-05,True,False,NONE,-0.1505458579601283
noise,8,0.045,-1.2453367187287946e-05,0.00017190765970788883,0.009454237129009533,0.0019416799813106833,0.0011499487467072226,0.06911057456294058,-0.21433888828005715,-0.021428334327095337,0.28554047149958034,-0.060413587135774736,-0.08798000185380127,0.33996950024806516,0.0016102590920993747,-0.0009508008771497971,-1.1921958517316381e-05,-0.0800148340348421,0.1309589941022741,-0.0031350136137789433,0.0,0.0,0.16,1.2453367187287946e-05,-0.00017190765970788883,0.15054575929471178,0.1505458579601283,0.16268000000000002,-1.2260897885127289,2.146206868053655,4.7708515636944456e-05,-0.769368,-1.0,1.0,4.5558278e-05,True,False,NONE,-0.14993189787288008
noise,9,0.049999999999999996,1.4019206520706876e-05,0.00018347260221234592,0.010068211464594539,0.0025366293993175286,0.001084537976042105,0.05892592625257549,0.023188326778615004,0.09151765692873506,0.29968090153533705,-0.14275546043703422,0.06983156469521282,0.13919382122464424,0.0008759527710714432,0.0006839852146238153,-9.200660323697704e-05,-0.06786625199707616,0.15451651705161382,-0.008419968185878866,0.0,0.0,0.16,-1.4019206520706876e-05,-0.00018347260221234592,0.14993178495912676,0.14993189787288008,0.17579092744323724,1.447837256784489,1.591893255256154,0.00036827711102367953,-0.6500389,1.0,1.0,0.00035167873,True,False,NONE,-0.1494055788186595
